t (sec.),u,y,e
0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.015,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.025,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.035,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.045,0.0,0.0,0.0
0.05,5.0,0.020376105835586255,4.979623894164414
0.055,5.0,0.14077246995172052,4.85922753004828
0.06,5.0,0.3752356446931103,4.62476435530689
0.065,5.0,0.7145543026029326,4.285445697397067
0.07,5.0,1.1472602450000968,3.852739754999903
0.075,5.0,1.659976197045039,3.3400238029549607
0.08,5.0,2.237799123415905,2.762200876584095
0.085,5.0,2.864708674243633,2.135291325756367
0.09,5.0,3.5239900831313595,1.4760099168686405
0.095,5.0,4.198660819007034,0.801339180992966
0.1,5.0,4.871890533434077,0.12810946656592304
0.105,5.0,5.527404330978913,-0.5274043309789134
0.11,5.0,6.149860102914758,-1.149860102914758
0.115,5.0,6.725191579640872,-1.7251915796408719
0.12,5.0,7.240909846272804,-2.240909846272804
0.125,5.0,7.686357297131343,-2.6863572971313427
0.13,5.0,8.052909344081572,-3.0529093440815718
0.135,5.0,8.33412060504637,-3.3341206050463708
0.14,5.0,8.525813746096956,-3.525813746096956
0.145,5.0,8.626110597124516,-3.6261105971245158
0.15,5.0,8.635406572169806,-3.6354065721698063
0.155,5.0,8.55629076792554,-3.5562907679255407
0.16,5.0,8.393415357310612,-3.3934153573106123
0.165,5.0,8.153319012268954,-3.1533190122689536
0.17,5.0,7.844210057887163,-2.844210057887163
0.17500000000000002,5.0,7.475715859708289,-2.4757158597082887
0.18,5.0,7.058605563557992,-2.0586055635579923
0.185,5.0,6.604493732966065,-1.6044937329660653
0.19,5.0,6.125532658968051,-1.1255326589680514
0.195,5.0,5.634101151204333,-0.6341011512043329
0.2,5.0,5.142497463018464,-0.1424974630184641
0.20500000000000002,5.0,4.662643666366596,0.3373563336334042
0.21,5.0,4.205808288539736,0.7941917114602637
0.215,5.0,3.7823533693454148,1.2176466306545852
0.22,5.0,3.401511314957792,1.598488685042208
0.225,5.0,3.0711960360843418,1.9288039639156582
0.23,5.0,2.797851888234268,2.202148111765732
0.23500000000000001,5.0,2.5863429067332815,2.4136570932667185
0.24,5.0,2.4398837752708453,2.5601162247291547
0.245,5.0,2.3600129106238033,2.6399870893761967
0.25,5.0,2.346607013446508,2.653392986553492
0.255,5.0,2.3979354499633794,2.6020645500366206
0.26,5.0,2.510751914448242,2.489248085551758
0.265,5.0,2.6804199975366876,2.3195800024633124
0.27,5.0,2.90106856790057,2.09893143209943
0.275,5.0,3.1657722786914717,1.8342277213085283
0.28,5.0,3.4667520461284083,1.5332479538715917
0.28500000000000003,5.0,3.795590022827333,1.2044099771726668
0.29,5.0,4.143453406512173,0.8565465934878267
0.295,5.0,4.50132138560284,0.49867861439715977
0.3,5.0,4.860209623376949,0.1397903766230506
0.305,5.0,5.211386915210242,-0.2113869152102419
0.31,5.0,5.546579009071386,-0.5465790090713858
0.315,5.0,5.8581550455583935,-0.8581550455583935
0.32,5.0,6.139292635601879,-1.1392926356018789
0.325,5.0,6.384118234944946,-1.3841182349449461
0.33,5.0,6.587820176655002,-1.5878201766550024
0.335,5.0,6.746732467317266,-1.7467324673172664
0.34,5.0,6.8583882198520305,-1.8583882198520305
0.34500000000000003,5.0,6.921542366780018,-1.9215423667800184
0.35000000000000003,5.0,6.936164053434859,-1.936164053434859
0.355,5.0,6.9033998332411075,-1.9033998332411075
0.36,5.0,6.825509460246018,-1.8255094602460176
0.365,5.0,6.705776682830254,-1.7057766828302539
0.37,5.0,6.548397974160501,-1.5483979741605012
0.375,5.0,6.358352578982729,-1.3583525789827293
0.38,5.0,6.14125760473437,-1.1412576047343697
0.385,5.0,5.903212132190377,-0.9032121321903768
0.39,5.0,5.650634464086997,-0.6506344640869974
0.395,5.0,5.390096669132827,-0.39009666913282715
0.4,5.0,5.128160515799463,-0.12816051579946297
0.405,5.0,4.871218729965408,0.12878127003459205
0.41000000000000003,5.0,4.625345259762378,0.3746547402376219
0.41500000000000004,5.0,4.396157898716487,0.6038421012835133
0.42,5.0,4.18869621506372,0.8113037849362801
0.425,5.0,4.007317272918139,0.9926827270818608
0.43,5.0,3.8556111228108705,1.1443888771891295
0.435,5.0,3.7363374987375413,1.2636625012624587
0.44,5.0,3.6513846003470944,1.3486153996529056
0.445,5.0,3.6017502763748075,1.3982497236251925
0.45,5.0,3.587545372627441,1.4124546273725591
0.455,5.0,3.6080184778676676,1.3919815221323324
0.46,5.0,3.6616008059586798,1.3383991940413202
0.465,5.0,3.7459695035351497,1.2540304964648503
0.47000000000000003,5.0,3.8581272787305663,1.1418727212694337
0.47500000000000003,5.0,3.9944959159456332,1.0055040840543668
0.48,5.0,4.1510209803461695,0.8489790196538305
0.485,5.0,4.323284827924063,0.6767151720759372
0.49,5.0,4.506624924823631,0.4933750751763686
0.495,5.0,4.6962544436044125,0.30374555639558753
0.5,5.0,4.8873821426997734,0.11261785730022655
0.505,5.0,5.075328645295606,-0.07532864529560612
0.51,5.0,5.2556364103216096,-0.25563641032160955
0.515,5.0,5.424170924884823,-0.4241709248848231
0.52,5.0,5.57721093668402,-0.5772109366840201
0.525,5.0,5.71152587808786,-0.7115258780878602
0.53,5.0,5.824439001204834,-0.8244390012048344
0.535,5.0,5.913875135440161,-0.9138751354401613
0.54,5.0,5.9783923854590375,-0.9783923854590375
0.545,5.0,6.017197497864275,-1.0171974978642746
0.55,5.0,6.030145029178525,-1.0301450291785246
0.555,5.0,6.017720836286037,-1.0177208362860366
0.56,5.0,5.981010774403084,-0.9810107744030843
0.5650000000000001,5.0,5.92165581885094,-0.9216558188509403
0.5700000000000001,5.0,5.841795118383414,-0.8417951183834136
0.5750000000000001,5.0,5.743998733735705,-0.7439987337357046
0.58,5.0,5.63119201086065,-0.6311920108606497
0.585,5.0,5.506573680805982,-0.5065736808059818
0.59,5.0,5.373529865556917,-0.37352986555691725
0.595,5.0,5.235546201008835,-0.23554620100883472
0.6,5.0,5.0961202654906534,-0.09612026549065344
0.605,5.0,4.958676427170284,0.041323572829716326
0.61,5.0,4.826485099678236,0.17351490032176375
0.615,5.0,4.702588226902508,0.2974117730974921
0.62,5.0,4.589732610591589,0.41026738940841057
0.625,5.0,4.490312454382575,0.5096875456174246
0.63,5.0,4.406322231977409,0.5936777680225909
0.635,5.0,4.33932070266804,0.66067929733196
0.64,5.0,4.290406601733727,0.7095933982662732
0.645,5.0,4.260206233913298,0.7397937660867022
0.65,5.0,4.248872902560288,0.7511270974397117
0.655,5.0,4.25609782226958,0.74390217773042
0.66,5.0,4.28113189529151,0.7188681047084904
0.665,5.0,4.322817487870454,0.677182512129546
0.67,5.0,4.3796291269583785,0.6203708730416215
0.675,5.0,4.44972185490682,0.5502781450931797
0.68,5.0,4.530985833149983,0.46901416685001696
0.685,5.0,4.621105677989163,0.3788943220108374
0.6900000000000001,5.0,4.7176229437936765,0.2823770562063235
0.6950000000000001,5.0,4.818000141648791,0.18199985835120902
0.7000000000000001,5.0,4.919684694115367,0.08031530588463287
0.705,5.0,5.02017127777819,-0.020171277778190166
0.71,5.0,5.117061092226719,-0.11706109222671923
0.715,5.0,5.208116713813181,-0.20811671381318142
0.72,5.0,5.2913113410545325,-0.2913113410545325
0.725,5.0,5.364871411395202,-0.3648714113952023
0.73,5.0,5.42731176128431,-0.4273117612843098
0.735,5.0,5.47746270788472,-0.4774627078847198
0.74,5.0,5.514488645782573,-0.5144886457825733
0.745,5.0,5.537897970323159,-0.5378979703231588
0.75,5.0,5.547544355272343,-0.5475443552723434
0.755,5.0,5.543619621222079,-0.5436196212220787
0.76,5.0,5.526638627691676,-0.5266386276916757
0.765,5.0,5.497416801836461,-0.49741680183646064
0.77,5.0,5.45704107621227,-0.45704107621226964
0.775,5.0,5.406835143922458,-0.406835143922458
0.78,5.0,5.348320049131549,-0.3483200491315488
0.785,5.0,5.28317121251919,-0.2831712125191901
0.79,5.0,5.213173043659953,-0.21317304365995327
0.795,5.0,5.140172315180669,-0.14017231518066886
0.8,5.0,5.066031467226879,-0.06603146722687914
0.805,5.0,4.992582976319472,0.00741702368052799
0.81,5.0,4.921585861806797,0.07841413819320309
0.8150000000000001,5.0,4.854685318109402,0.14531468189059815
0.8200000000000001,5.0,4.79337635462106,0.20662364537894007
0.8250000000000001,5.0,4.738972200708018,0.2610277992919823
0.8300000000000001,5.0,4.692578094313932,0.3074219056860681
0.835,5.0,4.655070923047428,0.3449290769525719
0.84,5.0,4.627085030260554,0.3729149697394458
0.845,5.0,4.609004339518472,0.39099566048152834
0.85,5.0,4.600960792955111,0.39903920704488893
0.855,5.0,4.602838946096743,0.3971610539032566
0.86,5.0,4.614286417367771,0.38571358263222866
0.865,5.0,4.634729757905799,0.36527024209420134
0.87,5.0,4.663395189355813,0.3366048106441868
0.875,5.0,4.699333556393036,0.30066644360696415
0.88,5.0,4.741448758760075,0.2585512412399247
0.885,5.0,4.788528865997054,0.21147113400294604
0.89,5.0,4.83927907765716,0.16072092234283986
0.895,5.0,4.892355672957277,0.1076443270427232
0.9,5.0,4.946400096304456,0.05359990369554435
0.905,5.0,5.000072348243801,-7.23482438012013e-05
0.91,5.0,5.052082893894235,-0.052082893894234594
0.915,5.0,5.101222361244439,-0.10122236124443873
0.92,5.0,5.146388377760002,-0.1463883777600019
0.925,5.0,5.186608983272591,-0.186608983272591
0.93,5.0,5.221062157496974,-0.22106215749697444
0.935,5.0,5.2490911089831656,-0.24909110898316555
0.9400000000000001,5.0,5.270215085979501,-0.27021508597950117
0.9450000000000001,5.0,5.284135585641751,-0.2841355856417511
0.9500000000000001,5.0,5.290737953391581,-0.2907379533915808
0.9550000000000001,5.0,5.290088476226504,-0.29008847622650435
0.96,5.0,5.282427179802277,-0.2824271798022773
0.965,5.0,5.268156636762338,-0.26815663676233825
0.97,5.0,5.247827180969083,-0.2478271809690833
0.975,5.0,5.222118997208952,-0.2221189972089519
0.98,5.0,5.191821617160861,-0.1918216171608611
0.985,5.0,5.157811398875091,-0.15781139887509088
0.99,5.0,5.121027598037715,-0.12102759803771512
0.995,5.0,5.082447654619085,-0.08244765461908532
1.0,5.0,5.043062318238027,-0.043062318238026975
1.0050000000000001,5.0,5.003851220204889,-0.0038512202048890387
1.01,5.0,4.965759470576011,0.0342405294239887
1.0150000000000001,5.0,4.929675815818909,0.0703241841810911
1.02,5.0,4.896412838292625,0.1035871617073747
1.025,5.0,4.866689614370465,0.13331038562953523
1.03,5.0,4.841117175542016,0.15888282445798385
1.035,5.0,4.820187038236089,0.17981296176391126
1.04,5.0,4.804262985499948,0.1957370145000521
1.045,5.0,4.793576199179479,0.20642380082052103
1.05,5.0,4.788223756976088,0.21177624302391163
1.055,5.0,4.788170426745039,0.21182957325496066
1.06,5.0,4.793253612564751,0.2067463874352491
1.065,5.0,4.803191235204969,0.19680876479503073
1.07,5.0,4.8175922652130385,0.18240773478696148
1.075,5.0,4.835969571251354,0.16403042874864582
1.08,5.0,4.857754700630061,0.14224529936993857
1.085,5.0,4.88231417398855,0.11768582601145017
1.09,5.0,4.908966852304649,0.09103314769535142
1.095,5.0,4.937001922081068,0.06299807791893208
1.1,5.0,4.965697043619451,0.034302956380549254
1.105,5.0,4.994336217413863,0.0056637825861374225
1.11,5.0,5.022226944290283,-0.022226944290283157
1.115,5.0,5.048716285163514,-0.048716285163513895
1.12,5.0,5.073205465146205,-0.07320546514620485
1.125,5.0,5.095162713017947,-0.0951627130179471
1.1300000000000001,5.0,5.114134079394576,-0.1141340793945762
1.135,5.0,5.129752033873163,-0.1297520338731628
1.1400000000000001,5.0,5.141741701443988,-0.1417417014439879
1.145,5.0,5.149924660007163,-0.1499246600071631
1.1500000000000001,5.0,5.154220282369095,-0.1542202823690948
1.155,5.0,5.154644666131331,-0.15464466613133077
1.16,5.0,5.151307252012514,-0.15130725201251405
1.165,5.0,5.144405284068359,-0.14440528406835895
1.17,5.0,5.134216312841857,-0.13421631284185676
1.175,5.0,5.121088983698933,-0.12108898369893328
1.18,5.0,5.105432386680486,-0.10543238668048627
1.185,5.0,5.087704270525116,-0.08770427052511565
1.19,5.0,5.068398441689642,-0.06839844168964238
1.195,5.0,5.048031679028196,-0.04803167902819627
1.2,5.0,5.02713049630485,-0.027130496304850205
1.205,5.0,5.006218078129982,-0.006218078129982096
1.21,5.0,4.985801700636973,0.01419829936302719
1.215,5.0,4.966360926837175,0.033639073162825106
1.22,5.0,4.9483368388454085,0.051663161154591464
1.225,5.0,4.932122535924929,0.067877464075071
1.23,5.0,4.91805508953582,0.08194491046417962
1.235,5.0,4.906409105339335,0.09359089466066539
1.24,5.0,4.897391998519523,0.1026080014804771
1.245,5.0,4.891141043962244,0.1088589560377562
1.25,5.0,4.887722217904818,0.11227778209518213
1.2550000000000001,5.0,4.887130803729549,0.11286919627045133
1.26,5.0,4.889293692655638,0.11070630734436193
1.2650000000000001,5.0,4.894073271140366,0.10592672885963417
1.27,5.0,4.901272751683679,0.09872724831632063
1.2750000000000001,5.0,4.91064277317358,0.08935722682642044
1.28,5.0,4.9218890715124255,0.0781109284875745
1.285,5.0,4.934681001482731,0.0653189985172693
1.29,5.0,4.948660676950908,0.051339323049091945
1.295,5.0,4.963452488721645,0.036547511278355316
1.3,5.0,4.978672757645007,0.02132724235499328
1.305,5.0,4.993939284796559,0.006060715203441092
1.31,5.0,5.008880570412087,-0.008880570412086897
1.315,5.0,5.023144488349444,-0.023144488349443826
1.32,5.0,5.0364062226429684,-0.036406222642968444
1.325,5.0,5.04837529658566,-0.04837529658566009
1.33,5.0,5.058801552016167,-0.05880155201616688
1.335,5.0,5.067479966336964,-0.06747996633696385
1.34,5.0,5.074254226442677,-0.07425422644267687
1.345,5.0,5.079019011370288,-0.07901901137028844
1.35,5.0,5.081720968274621,-0.08172096827462116
1.355,5.0,5.082358398483186,-0.08235839848318616
1.36,5.0,5.080979701134715,-0.08097970113471487
1.365,5.0,5.077680650553371,-0.07768065055337114
1.37,5.0,5.0726006094263205,-0.07260060942632052
1.375,5.0,5.0659178024923746,-0.06591780249237456
1.3800000000000001,5.0,5.057843794366222,-0.05784379436622178
1.385,5.0,5.048617329973032,-0.04861732997303214
1.3900000000000001,5.0,5.038497706617621,-0.038497706617620864
1.395,5.0,5.027757852838319,-0.02775785283831933
1.4000000000000001,5.0,5.01667729088643,-0.016677290886430107
1.405,5.0,5.005535157023833,-0.005535157023833115
1.41,5.0,4.9946034470424605,0.005396552957539491
1.415,5.0,4.984140643772425,0.015859356227575283
1.42,5.0,4.974385869237571,0.025614130762429355
1.425,5.0,4.9655536869873815,0.03444631301261847
1.43,5.0,4.95782966049122,0.0421703395087798
1.435,5.0,4.951366751878738,0.04863324812126191
1.44,5.0,4.94628262233311,0.05371737766689044
1.445,5.0,4.942657871691133,0.05734212830886687
1.45,5.0,4.940535230875879,0.05946476912412102
1.455,5.0,4.939919697268965,0.06008030273103504
1.46,5.0,4.940779580578132,0.05922041942186773
1.465,5.0,4.943048405688293,0.056951594311707154
1.47,5.0,4.946627599865466,0.053372400134533926
1.475,5.0,4.951389874916147,0.04861012508385265
1.48,5.0,4.95718320082341,0.04281679917658998
1.485,5.0,4.963835256243642,0.03616474375635814
1.49,5.0,4.971158233233261,0.028841766766738886
1.495,5.0,4.978953868780691,0.021046131219309316
